Number of Digits, Sample Size, Time
2, 10000, 0.000439541
3, 10000, 0.000969166
5, 10000, 0.00408471
8, 10000, 0.0038555
10, 10000, 0.00583129
12, 10000, 0.00870371
15, 10000, 0.00716667
18, 10000, 0.00883358
20, 10000, 0.00992954
