Number of Digits, Sample Size, Time
2, 10000, 9.9334e-05
3, 10000, 8.7459e-05
4, 10000, 0.000271792
5, 10000, 0.00047875
6, 10000, 0.000409375
7, 10000, 0.0006545
8, 10000, 0.000637292
9, 10000, 0.000729625
10, 10000, 0.000819792
