Number of Digits, Sample Size, Time
2, 10000, 0.00100162
3, 10000, 0.000421375
4, 10000, 0.00105875
5, 10000, 0.00177725
6, 10000, 0.00146446
7, 10000, 0.00235942
8, 10000, 0.00234679
9, 10000, 0.0029435
10, 10000, 0.00303438
