Number of Digits, Sample Size, Time
2, 10000, 0.000696041
3, 10000, 0.00134033
5, 10000, 0.00628613
8, 10000, 0.00786575
10, 10000, 0.0150076
12, 10000, 0.0313777
15, 10000, 0.0240586
18, 10000, 0.0347355
20, 10000, 0.0444998
